Trait,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30
demonstrated high level of knowledge in some aspects,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
demonstrated lack of knowledge in some aspects,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0
appreciates that before experience did not realise all the potential risks when sharing their image online,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0
after being exposed to how companies can extract data from their images the participant felt surprised,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
after being exposed to how companies can extract data from their images the participant felt confused / lost,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
after being exposed to how companies can extract data from their images the participant felt unimpressed (extracted info was generic),0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
after being exposed to how companies can extract data from their images the participant felt uncomfortable / scared,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
after being exposed to how companies can extract data from their images the participant felt angry / violated / offended,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after being exposed to how companies can extract data from their images the participant did not feel surprised (was aware of this happening),0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
has expressed that physical security is an element of private information for them,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
has expressed financial status is an element of private information for them,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
has expressed a concern of protecting the loved ones/friends,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0
has expressed a sexual orientation is an element of private information for them,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
has expressed a concern of protecting a younger generation,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
has expressed that a political view is an element of private information for them,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
has expressed health status is an element of private information for them,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
has expressed that identity is an element of private information for them,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
thinks that posts too much of personal/private info,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
claims that does not post personal/private info,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
shares personal information in private messages or private account,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
does not post often,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
have shown to share a lot of personal information in the last 10 images,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
have shown to share a moderate amount of personal information in the last 10 images,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
have shown to share few pieces of personal information in the last 10 images,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
has a low level of sensitivity regarding the private information,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
has a low-medium level of sensitivity regarding the private information,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
has a medium level of sensitivity regarding the private information,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
has a medium-high level of sensitivity regarding the private information,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
has a high level of sensitivity regarding the private information,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
believes that all images are private,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"believes that some images are more private than others (e.g., they would like to protect only some images, or that only some images reveal personal information)",0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
"believes that one image can tell a lot (e.g., from one image a lot of information can be inferred)",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
believes that some photos reveal info that is already shared regardless for other purposes,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
likes relevant ads / relevant ads are useful,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
does not like relevant ads,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"feels that irrelevant ads are useful (e.g., less distraction)",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0
feels that relevant ads are easy-to-spot (they believe they can easily recognise when something is advertised to them),0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
feels that relevant ads create an isolation bubble or feel invasive,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
feels that ads are annoying,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0
"believes that monetisation could be ok as long certain conditions are met (e.g., anonymisation, giving consent)",0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
found the number of companies/bids surprising when were exposed to how companies can extract data from their images,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"does not like that profile data is sold (e.g., makes them feel like a ""commodity"")",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1
"believes that inference could be ok as long certain conditions are met (e.g., anonymisation, giving consent)",0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
have mentioned that it is ok for a company to extract/use the data from the images they post online,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1
"have found the inference on images is very shallow (e.g., stereotypical, offensive) when were exposed to how companies can extract data from their images",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
have mentioned that they do not care about inference on what they do share,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0
have mentioned that they don't like inference on their images,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
believe that it is too late for them to worry when sharing the images online or do not care about what I reveal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
have accepted inference performed by the companies on the images that they share online because this is how the world works,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1
initially believe that not sharing is a safe option when it comes to protecting the personal/private information they share online,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
"initially believe that image editing could help (e.g., blurring, cropping) when it comes to protecting the personal/private information they share online",1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
"initially believe that profile/post settings manipulations could help (e.g., manually changing the hashtags to the image, setting account to private, using incorrect location when sharing photo or sharing with delay), when it comes to protecting the personal/private information they share online",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"after being exposed to how companies can extract data from their images, have expressed that not sharing is a safe option, when it comes to protecting the personal/private information they share online",0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0
"after being exposed to how companies can extract data from their images, have expressed that image editing could help (e.g., blurring, cropping), when it comes to protecting the personal/private information they share online",0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"after being exposed to how companies can extract data from their images, have expressed that iprofile/post settings manipulations could help (e.g., manually changing the hashtags to the image, setting account to private, not include the name when sharing the image), when it comes to protecting the personal/private information they share online",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
"after being exposed to how companies can extract data from their images, were not sure how to protect the personal/private information they share online",0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
believe that proposed privacy enhancement filter messes up monetisation based on personal data,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
believe that proposed privacy enhancement filter messes up gathering of personal data and remove objectification,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
have expressed that a proposed privacy enhancement filter makes the image look better or closer to their taste from their perspective,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
have expressed that a proposed privacy enhancement filter makes the image look not as good from their perspective,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0
"have expressed that proposed privacy enhancement filter provides general protection and makes them feel better (""adding just to be sure"", ""they allow to protect me"")",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
"believe that the effect of proposed privacy enhancement filter is very little or none (e.g., ""Filters would not change my day to day life"")",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
expressed that they would be making a choice between aesthetics of the image and protection when if they were to use a proposed privacy enhancement technology filter,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
are amazed by the proposed privacy enhancement filter,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
"does not trust the the proposed privacy enhancement filter (agree to use it only when they understand how the privacy enhancement technology works, or believe that the proposed technology is ""too good to be true"")",1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
believes that privacy is about who has access to image/data inferred from the image,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
"believes that privacy is about what or how much image / data extracted from an image reveals (identities, lifestyle, etc.)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1
believes that privacy is about a conscious decision of what to share/hide,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"believes that privacy is about what you might “unintentionally” share (e.g., hidden inference from data)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
believes that privacy is about controlling who owns your data,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
believes that privacy is about to whom image/data is sold to,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
"believes that privacy is about controlling what the image is used for (e.g., for example, not allowing to be a part of the algorithm)",0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
"believes that privacy online is deceptive (e.g., information is less private than you think)",0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
believes that privacy online does not exist,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
believes that privacy is something we do not have full control of,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0
initially believes that privacy protection is very important,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
initially believes that privacy protection is moderately important,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
initially does not have an opinion on privacy protection,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
initially believes that privacy protection is not that important,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
initially believes that privacy protection is unimportant,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
initially thinks that protecting personal information is extremely easy with the tools that are available to them,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
initially thinks that protecting personal information is mostly easy with the tools that are available to them,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
initially thinks that protecting personal information is moderately easy with the tools that are available to them,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
initially thinks that protecting personal information is hard with the tools that are available to them,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
initially thinks that protecting personal information is very hard with the tools that are available to them,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
initially expressed a desire to always be in control of their personal information,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
initially expressed a desire to often be in control of their personal information,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
initially expressed a desire to sometimes be in control of their personal information,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
initially expressed that they rarely want to be in control of their personal information,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
initially expressed that they never want to be in control of their personal information,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
illustrated familiarity of how social media check images for sensitive content,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
illustrated only awareness of social media checking images for sensitive content,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0
illustrated no awareness of social media checking images for sensitive content,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
illustrated familiarity of how social media is able to extract personal information from an image and generate a personal profile on a user,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
illustrated only awareness of social media being able to extract personal information from an image and generate a personal profile on a user,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0
illustrated no awareness of social media being to extract personal information from an image and generate a personal profile on a user,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
claimed to have full understanding of what is happening to their images when uploading them online,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
claimed to mostly understand of what is happening to their images when uploading them online,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
claimed to have moderate understanding of what is happening to their images when uploading them online,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
claimed to have little understanding of what is happening to their images when uploading them online,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
claimed to have no understanding of what is happening to their images when uploading them online,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
after being exposed to how companies can extract data from their images they feel that they have full control over their personal information when sharing images online,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
after being exposed to how companies can extract data from their images they feel that they can mostly control their personal information when sharing images online,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
after being exposed to how companies can extract data from their images they feel that they have moderate control over personal information when sharing images online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
after being exposed to how companies can extract data from their images they feel that they have only little control over their personal information when sharing images online,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
after being exposed to how companies can extract data from their images they feel that they have no control over their personal information when sharing images online,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
they feel that the proposed privacy enhancement technology will help them to protect their privacy when sharing images online,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0
they are not sure if the proposed privacy enhancement technology will help them to protect their privacy when sharing images online,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
they feel that the proposed privacy enhancement technology will not help them to protect their privacy when sharing images online,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
they would always use the proposed privacy enhancement filter when sharing images online,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0
they would often use the proposed privacy enhancement filter when sharing images online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
they would sometimes use the proposed privacy enhancement filter when sharing images online,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
they would rarely use the proposed privacy enhancement filter when sharing images online,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
they would never use the proposed privacy enhancement filter when sharing images online,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool, they believe that privacy protection is very important",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
"after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool, they believe that privacy protection is moderately important",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool, they do not have an opinion on privacy importance",1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool, they believe that privacy protection is not that important",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool, they believe that privacy protection is unimportant",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
drastic decrease in privacy protection importance after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
significant decrease in privacy protection importance after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
slight decrease in privacy protection importance after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no change in privacy protection importance after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
slight increase in privacy protection importance after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
significant increase in privacy protection importance after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drastic increase in privacy importance after being exposed to companies being able to extract personal information and a proposed privacy enhancement tool,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"extreme mismatch between the control perception and desired level of control after being exposed to companies being able to extract personal information, less control than initially wanted",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"significant mismatch the control perception and desired level of control after being exposed to companies being able to extract personal information, less control than initially wanted",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"slight mismatch the control perception and desired level of control after being exposed to companies being able to extract personal information, less control than initially wanted",0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
no mismatch the control perception and desired level of control after being exposed to companies being able to extract personal information,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"slight mismatch the control perception and desired level of control after being exposed to companies being able to extract personal information, more control than initially wanted",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"significant mismatch the control perception and desired level of control after being exposed to companies being able to extract personal information, more control than initially wanted",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"extreme mismatch between the control perception and desired level of control after being exposed to companies being able to extract personal information, more control than initially wanted",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
